[General]
A Dildo|Um vibrador
b8e65174-5979-4104-b2e3-6d0d8e684348|Dica: "sempre" é o momento mais apropriado. Para todas essas opções. Com certeza. (Talvez).
b9a4de52-1513-4138-a426-bfb4bd259244|Que cheiro é esse?
b9d5e625-a916-43bc-9aae-7a2e885b0b29|Parece que a tela está mostrando uma mensagem de erro.
b9ef1bd1-d06c-4c80-9334-2b91398bf32b|Talvez seja melhor não interromper duas gatinhas enquanto elas estão brincando de médica... A menos que você seja um idiota.
ba4626e9-c041-4ccf-885b-ac1e5ef15583|É melhor eu ficar pelado...
ba4782f7-3561-409b-96ef-c00b095d29eb|Não tenho uma conta no YouTool, então todos os vídeos têm anúncios. Preciso ver se alguém tem uma conta que eu possa usar.
ba904f18-b3c5-4425-9dfd-a483023a3722|Ótimo! Agora, o que devemos queimar?
bb647d63-0892-4a0b-b08c-43ca1b288d87|Hmm, ainda não é bom o suficiente para um cartão de felicitações.
bb774618-421e-4482-a810-e96e004884b3|A Janela de Oportunidades exibe as oportunidades que você iniciou com um personagem, bem como informações sobre seu progresso. Você também pode ver quais oportunidades você falhou. Elas são marcadas com um "X". É claro que oportunidades perdidas são aquelas que não podem mais ser descobertas ou aproveitadas, e não são exibidas individualmente. Reinicie o jogo para descobri-las! Use os botões na parte inferior para ocultar certas oportunidades e facilitar a leitura da lista.
bb80a912-24e4-425e-a949-1def8f719796|Você pode parar ou recomeçar a dança pressionando a tecla "Y" (padrão).
bb91e4f4-93ef-41ca-a849-92f34d137ee5|Droga, devo ter perdido alguma coisa... o que ele disse? Ah, certo, certificando-me de que ela está sozinha, trancando a porta e... espera aí, fora isso, acho que também preciso estar pronto para transar.
bba9b3e7-46fe-47c7-945a-61e5e1d74120|Você desbloqueou a fantasia de RV para Liz Katz no personalizador!
bc17eea9-675c-4a60-9e8a-958de9a98152|Essas são drogas que comprei do Frank com o meu dinheiro suado. Provavelmente é melhor não dizer isso em voz alta.
bc197bfa-1aec-47d8-a7fc-2541b08d00a7|Provavelmente é o celular da Madison. Ela deve ter deixado na pia.
bc5de917-e760-431c-8500-8674bdee2e05|Nesta casa você encontrará um computador escondido. Só eu, o mestre da festa, sei onde ele está. É longe, como uma civilização perdida e remota, mas passar no teste não exige sobriedade.
bd08b168-12e5-4172-8142-dc05e021efb7|Escutem, meus amigos, eu vejo o futuro. Vai ser um calor escaldante, eu garanto! Eu controlo o calor, e não estou brincando. Resolvam este quebra-cabeça, ou vai ficar ainda mais quente!
bd17132d-9375-4f90-8c03-56d543010562|Aqui, eu montei este enigma para vocês. É sobre um lugar, uma passagem secreta. Eu me movo para lá, como um ninja secreto, silencioso e mortal, como meu próprio peido.
bd2dedb3-7f36-47c2-ac78-a216d4ac4f2d|Não consigo colocá-lo ali; a tampa da jacuzzi já está lá.
bd3442e6-5b0c-418d-a263-e4491b875e0e|Hmm... você realmente precisa disso agora? Preciso tomar uma decisão...
bd46b1d0-8334-4195-a92e-261d2f27aba9|Acho que preciso me rebaixar um pouco mais.
bddc14b7-82e8-426e-8273-6732ee3fde34|É como um quebra-cabeça que precisa ser resolvido e, quando você encontrar a solução, ficará inundado de satisfação. Então, dedique-se, você só terá sucesso se agir: descubra isso, ou morrerá lutando.
bde5968e-313a-485f-afed-8ba664cef449|Ele está chegando, estou quase lá!
be52c33a-01b8-4418-a3b9-6d8b5ad9b4d8|Uma mensagem da "Lety" ainda está aberta... parece que ela está dando aulas de espanhol para a Ashley. Pela foto, ela parece uma gata! Eu poderia mandar uma mensagem daqui para ver se ela gostaria de vir...
be686e7f-6c2d-40ce-b971-b7e41c5e2076|Depois, olhe para os óculos, mire bem e clique com o botão direito para lançar a bola! (Ou segure e solte para um arremesso mais forte.)
be838ef9-50cb-4a6f-a463-c793694bd3c1|Agora você se sente um pouco mais forte.
beabef55-3627-42f0-8bda-6a7b74cdf73e|Estou quase lá... Não consigo... Puta merda!
bf34053e-2664-44bb-9f41-c2263a6d6ddd|Parece que alguém deixou uma xícara de café aqui. Está quase cheia.
bfdaaff6-3687-4088-876a-b8d2a8beb203|Finalmente, Eek! A Games dá ao povo o que eles querem.
Born Again Penguin|Pinguim Renascido
Bottle of Water|Garrafa de água
c0aa7bda-d659-477c-b18a-c509781c2800|Como o Frank consegue ser um filho da puta tão grande, gigantesco e COLOSSAL sentado numa cadeira tão confortável?
c0b6cc02-e142-4d0c-8acd-3399de5fdfa8|*Verifica se ainda está vivo...* Sim, ele ainda está entre nós.
c0f6d619-e569-4e8c-a70d-01890a89753b|Quem não gosta de nuggets de frango? Parecem pré-cozidos...
c10927f8-9655-4d71-a873-679b8f86e33e|Não estou exatamente vestido para a ocasião...
c1df5eb7-e26a-4af4-83a6-3abee59b30a0|Tentando interagir com outro humano? Pois é, você conseguiu! Bom trabalho!
c2310e3f-7c96-4943-a38b-3a9249c1f4c5|Aqui é o Derek. A Brittney diz que ele é um cara legal.
c30a31dd-4705-496b-bede-17ba95528308|Para facilitar sua vida, seu inventário pode ser organizado de várias maneiras usando o menu suspenso na parte superior da janela. Você pode fechar seu inventário pressionando "X" ou ESC. Fim do tutorial. Você está livre!
c361a241-f1f3-435b-b558-dda71a123cca|É o diário da Madison. Eu adoraria ler, mas o código para garotas diz que diários são privados.
c3826a1c-6b65-40e9-8d19-0e3df93b6bff|Nossa, parece real! Parabéns ao Patrick por não dar um pau ridiculamente grande para o avatar dele.
c3e400ab-58e6-43e0-b030-f73cc92f9862|Você não consegue deixar de se perguntar: o que tem na caixa?!
c478d13b-7ccc-4e61-b511-a750cee92fdc|*Nota do desenvolvedor: Finja que o duto de ventilação caiu e o jogador pegou o bilhete que estava lá dentro.*
c4d5f223-bdad-407c-913b-ae36b766142f|Fazer isso de novo pode acabar com meu relacionamento com a Ashley para sempre... vale mesmo a pena ver essas bolas grandes de novo?
c50ed1af-8983-4c68-81d2-dfea696f44b0|Uma simulação incrivelmente realista da Rachael... Patrick claramente não teve nada a ver com isso.
c5282009-406d-48f9-913f-eb033cd7412b|Merda... como seria o som de uma baleia se visse isso...?
c532edcd-8a3c-4554-8ff4-829662bd906d|O Frank é um babaca e bem irritadiço. Acho que eu deveria avisá-lo quando estiver quase terminando.
c5d03ee0-0cb3-4239-b365-bbddd0eb7a8b|Ainda não consigo: estou esperando minhas futuras groupies terminarem de bajular minha escultura! ..."Groupies de arte" existem, né? Quem se importa? Provavelmente vou comprar uma dela de qualquer jeito.
c65530ff-042b-487d-9865-7291b4f91c67|*Você pega a bolsa da Stephanie, mas ela se debate.*
c6710f25-7480-4fc3-b526-b4d9cf07d6b1|Analgésicos reduzem sua sensibilidade à dor, aumentando sua resistência em combate!
c6a7fb17-7fd9-40cb-83dc-efacc1aa1f43|Aahh, é muito legal aqui! Ninguém está cuidando da lareira? E se a coisa errada cair lá dentro...
c6d28e4f-48d0-48dd-9029-f0eefba1e6bb|Há uma festa na casa da Madison hoje à noite, e seu amigo Derek te convidou. Claro, ele é a única pessoa que você conhece, mas como você é novo na cidade, esta parece uma boa oportunidade para socializar com algumas pessoas novas. Fique por aqui um pouco e veja quais oportunidades existem para se divertir, ou em que tipo de travessura ou depravação você pode se envolver. A escolha é sua. Mas primeiro, vá falar com o Derek. Boa sorte!
c6eb960d-7d53-42f7-9edc-52c3bf93d8b1|Parece que pode haver algo do outro lado da ventilação, mas ela não abre.
c6f6fcbd-9f3e-487b-a5fb-bfb913e5b516|Parece que você andou dando água demais para a Liz, e agora ela está em uma missão pessoal. Parece que ela está esperando a jacuzzi abrir.
c6f70fd4-7998-46b9-9c0f-84287ba52424|Você pode parar ou recomeçar a dançar pressionando a tecla "Y" (padrão).
c790e534-3aaa-44cf-b337-c53c11077b58|Steph está se movendo rápido demais para pegar qualquer item.
c7942d3e-607e-4bea-989d-c68aa9a394da|Um baú de mistério e maravilhas.
c7de8165-133e-442d-bce6-b9f7dbcb93fd|Acho que não quero causar pânico... por enquanto.
c7ef935d-b46e-438a-9a0b-8f65e659f435|Salmão em conserva! Nota mental: Tudo o que acaba lá dentro está perdido para sempre. Isso não é bom. Mas uma explosão... pode ser útil.
c82d41b0-7800-4fbb-a311-d53e8cbfbc46|Faria sentido, certo? Mas este é um jogo de aventura, e não vamos facilitar para você.
c837dfa2-5cbe-4a07-9353-74e11ae8cd3b|Está vazio. Que pena. Acho que se eu juntar todas as peças feias coladas no fundo da caixa, posso encaixá-las para formar a peça final. ...ou não.
c8c43766-dd6a-46bc-827d-e111ff1ba712|Carregado e pronto para jogar! Se eu precisasse imprimir algo...
c8ec4ab4-e233-47ab-a57d-7e7506d3ec06|Hum. É, ainda não cheguei lá. Nem perto. Ainda tenho trabalho a fazer se quiser deixar minhas partes baixas menos sensíveis.
c9167144-670b-4ac4-ac81-cd29da06d6b1|Eu fazia parte do plano? Ah, sim! Eles nunca teriam conseguido sem mim! Ou... não sem mim por perto!
c932e6c9-9bd0-47e8-a6d9-7ec78f17938e|Ele está chegando, preciso continuar...
cae8da2c-5cf3-4e2b-8e49-180e6fb08c2f|Patrick à la flambé. Só ele para sair assim...
cb2dc0c1-07c8-4e32-a6da-d2e994e5c9b3|Agora ele está pronto para o aquecimento global.
cb86ab97-dbf9-4b47-a460-281bb7446788|Ótimo! Agora só preciso ligar os alto-falantes lá fora para avisar a Doja Cat que podemos começar.
cb8de6c7-81c9-4ed0-8c5f-17b604ac73c0|Escutem, meus amigos, eu vejo o futuro, vai ser um calor escaldante, garanto! Eu controlo o calor, e não estou brincando. Resolva este quebra-cabeça, ou só vai piorar!
cbb34c16-9958-43e6-8502-16303b62d690|Modéstia à parte, não é um lugar ruim...
cbbaf4e1-d124-465c-91a0-55265460b53c|Não é o melhor momento da sua vida? Pergunta retórica. Um ato sexual pode terminar assim que um ou ambos os parceiros atingirem o limite de suas barras de orgasmo e chegarem ao nono céu. Nem todos os atos sexuais dão prazer a ambos os parceiros, mas quando dão, a sua barra estará no canto inferior direito da tela e a do seu parceiro no canto inferior esquerdo.
cbbe29b5-5834-443f-8c99-29c295bbd367|É um cartão SD de 16 GB.
cbcd8560-aefb-4b59-913f-0ef9c9d65dd4|Merda, acho que o Frank teve um traumatismo craniano muito grande hoje à noite... hum, espera, eu precisei dele para alguma coisa? Talvez eu tenha que tentar um garfo para acordá-lo... A menos que eu tenha algo mais interessante para usar...
cc782488-513f-4fcf-9476-b0fe946274ea|Perfeito! Acho que isso vai ser útil para o meu pequeno projeto de arte. Só preciso trabalhar um pouco nele e estarei pronto para exibi-lo para todos verem!
ccdd8dd7-a3d6-454b-9de9-bbf7b922835e|Eba, os sistemas de RV da Compubro estão prontos! Para usá-los, interaja com a maleta aberta no seu inventário e selecione "pressionar" ou "usar RV". Certifique-se de que não esteja ocupado brigando, fazendo coisas sujas ou no meio de algo que tenha precedência. Divirta-se!
cce8462e-f6b7-4112-a20e-7636b1528a73|Compubro permanece estranhamente silencioso... Talvez ele sinta a ira iminente de Derek?
ccfdd5b9-d6b2-452f-b846-aea85795994c|Eu certamente não ajudaria Lety a causar uma boa impressão empurrando Madison para longe dela.
cde0f583-0204-48b0-8afc-1f1486246a4c|A porta parece completamente emperrada. Tem algo que eu possa usar para arrombar a fechadura?
ce388b1f-d31f-40aa-8c62-26e71e5b3cc8|Encostei minha vassoura na unidade externa do ar-condicionado. Inútil? Talvez. Mas se eu tivesse a missão certa...
ceb899c4-469d-439b-9bf5-f1ae82cc1389|Hehe, olha essa vibração! Você pode examinar e interagir com este item no seu inventário para, bem... fazê-lo vibrar. Usá-lo em alguém no momento certo pode levar a reações muito úteis! Palavra-chave: poderia.
cec4aa86-a5ff-4ad8-ba6c-79680c282363|Parece que entrou em curto-circuito. Que lixo inútil!
cf4946ac-74a7-4817-9de9-11582f4c9faf|As aparências enganam. Aparentemente, só restam alguns goles. É melhor usar com sabedoria.
Chocolate & Water in Mug|Caneca com chocolate e água
Chocolate in Mug|Caneca com chocolate
Clean Dinolicious Outfit|Roupa Dinolicious limpa
d0461358-87eb-450c-8d65-4f768ce3c6c6|Nada como uma bebida refrescante!
d065b339-ee3d-4a59-b262-bf77af97ea99|Ah, não, deixei a cabeça do Patrick no micro-ondas tempo demais! Ele está prestes a explodir!
d108ad9e-d762-45d4-9d40-cbd19ba3fa13|Droga, devo ter perdido alguma coisa... o que ele disse? Ah, certo, certifique-se de que ela esteja sozinha, tranque a porta e... espere um minuto, além disso, eu também preciso estar pronto para transar.
d1245b2b-8e40-4938-abf1-3ec103b60dca|É o celular da Madison, mas não consigo ver muito bem daqui.
d1859f3e-c39b-40ca-ab80-65ea2de8fc54|Uma toalha bem usada, mas está começando a desfiar nas pontas.
d20cb5ff-f2d8-4879-8a4e-2adeea5841bd|Amy parece ser novata por aqui. Acho que ela não conhece muita gente por aqui.
d2511ab4-966f-43d5-a953-850e4fb33fdf|Definitivamente não é uma cobra.
d297867e-dd20-46d5-a0de-8295d01d4176|Vamos tentar de novo... "Como consertar uma pia com a Miss Tool", e desta vez, sem comerciais! Vou dizer ao Derek que tenho um vídeo para ele!
d2a4c4f9-47ea-48ad-9c2a-9351ae6cd982|É uma caixa de ovos. O que você vai fazer? Preparar o café da manhã para todos?
d2c80042-14ba-496a-8704-1d63e9be50f6|Enquanto você contempla sua majestosa obra de arte, um calor iluminador se espalha do seu coração, energizando sua mente e, finalmente... suas partes íntimas.
d324adc0-b426-4999-b68a-7455601c7642|Nada como um bom Cabernet para acompanhar um bife. Espera, eu disse alguma besteira? Podemos apagar isso?
d378569f-97b1-4973-b1cd-bd543ee9b242|Modo de reprodução alterado. A faixa atual será reproduzida em loop.
d38dd1fd-f02d-478a-b534-ac81de1faad0|É um ar-condicionado. O ar é sugado pela parte superior do aparelho e soprado para dentro da casa. Tem até espaço ao redor do ar-condicionado para colocar coisas.
d3cdbbf2-2ea4-494a-b1c3-8d7c63a9336d|Perfeito. O Sr. Pinguim está 100% menos assustador agora.
d44d20bb-b7cc-4297-9092-8ade525f3f33|É como um quebra-cabeça que precisa ser resolvido e, quando você encontrar a solução, ficará inundado de satisfação. Então, dedique-se, você só terá sucesso se agir: decifre isso ou morra lutando.
d5222ce2-efe0-4de6-85cc-a1a89d1ab8c4|A cabeça de Patrick balança agressivamente.
d5843512-9175-4d6d-95db-789d25298da4|Compubro gargalha perversamente.
d5eb1635-7609-43cd-b0f3-a106fb7989fb|Preciso afastar Leah de Lety, não... suborná-la. Ou dar um vibrador a ela. Eu tenho um vibrador?
d60417e0-2237-45ca-aab8-bcae3d237aa0|"El Escorpion Mezcal"... cheira a tequila! E definitivamente tem um escorpião nesta garrafa. Não está claro se está se movendo ou flutuando...
d6103d69-38dc-4f04-b529-ec9b93d06e8e|Parece um ar-condicionado comum. Legal!
d638f4bd-38ad-4b8a-9134-f6007c90fda2|Que cheiro é esse?
d65d8e18-1451-4e41-a201-45c17505c77b|Eu provavelmente deveria ter a Liz comigo antes de começar a investigar, certo?
d661bc1e-d08b-4bb6-bf48-c77520e900f3|Você desbloqueou o vestido de verão e a calcinha da Goodbye Kitty para o Derek no personalizador!
d6956a7f-0e76-417d-8143-e4a4fa6e946b|Nossa, o cheiro de tinta está muito forte aqui dentro.
d6a2f560-10fa-4591-b941-b5c3ecb666ae|É basicamente uma "garrafa d'água". Parece a única opção.
d705eaa0-1106-4970-8cb8-adba3911c66e|Parece a única linha de defesa que mantém os melões enormes da Ashley na blusa...
d755519c-3722-4ca7-b5dc-97129f35fed6|Ótimo!
d7906bac-48cd-4e7e-81d4-d2d8b93af734|É melhor eu esperar até que Lety e Madison terminem a troca de olhares. Quer dizer, troca de olhares... Droga, eu sou um idiota.
d7f6e649-ddc3-486a-b3b0-196c1ebf8fd0|Você pegou um item! Observe que, embora nenhum item resista a ser agarrado dessa forma, nem todos os itens podem ser agarrados. Você pode clicar com o botão direito (padrão) para soltá-lo ou mantê-lo pressionado para arremessá-lo. Quanto mais tempo você segurar o botão, mais forte será o arremesso. Você também pode soltar o item se perder a consciência, for atacado ou fizer outras coisas desagradáveis. Cuidado com o que você deixa cair e certifique-se de não jogar nenhum item por cima da cerca ou fora do seu alcance. Uma vez que um item é perdido, ele está perdido!
d825a1fc-c49c-4f8a-b0aa-3d46b7e4eeb4|Parece que não está funcionando agora.
d8287d3a-0fa3-4d2f-a22a-903c3cf8633f|Parece que é o último fósforo na caixa.
d8f656dc-8ed4-419c-a286-112731dcb587|Ei, escute! Alguém está falando! Isto é um diálogo. Você verá bastante. À esquerda, você pode ver as barras de álcool, carinho e amizade. Obviamente, elas representam os sentimentos de amizade e amor que um personagem tem por você. Elas são importantes porque muitas vezes decidirão o quão prestativo ou hostil esse personagem será; além de determinar se ele vai querer transar com você ou não. Você também pode ver o quanto ele é alcoólatra. Isso será útil, já que ninguém, como todos sabemos, suporta você sóbrio. ...Era para ser uma citação inspiradora. Foi inspiradora, certo?
d925aca6-e619-4ba7-8e38-afbd36cde9c3|Aqui, meu pinguim, aqui está algo para você ler.
d9270154-0b90-4c7b-b920-da24998e1f0d|Estava escondido atrás da foto do gato... que tipo de segredo vergonhoso poderia estar escondido em um dispositivo desses?
d9688717-10bf-4314-9c7f-f9dcd7193032|Merda... Preciso de um momento para recarregar as energias. Talvez se eu virar... AI! Merda! ...Não, tenho que esperar um pouco.
d9b67d28-37eb-4261-a2b9-774525963259|Já ouviu falar do Burning Man? Bem, deixe-me apresentar: o pinguim flamejante!
da4d988f-87cc-4ed3-98fb-42b95858a259|Oooh, legal! Aposto que esta câmera já viu coisas malucas.
da739c62-8433-44ba-8adb-bfadbab779db|Ah, é, eu sei fazer uns movimentos... mais ou menos. Quem sabe se eles vão ser úteis hoje à noite...
dafad62a-839f-45fc-ae7d-19f2e0c4bdfc|Parece que a câmera está pronta!
db271973-45cc-48e2-85b6-3c5955bd1372|Perfeito. O Sr. Pinguim está 100% menos assustador agora.
dbd59bdf-5c37-4332-a929-e9a293f498ea|( . Y . )
dbe4e154-be9e-4e87-9dfa-4bc930724ca6|Desliguei o roteador...
dc475bb2-7df6-4d26-a9d1-c3a6f9243abe|Parece que ele fornece água para a casa da Madison.
dc4a2daf-cc67-41a5-9b2f-0509c0470d89|Nossa, a Madison estava mesmo usando uma calcinha "Goodbye Kitty"! Vou fazer uma pausa rápida e imaginá-la usando... Ok, tudo bem. Podemos continuar!
dc5dce4c-ab69-4205-87a9-bef5e7f4d8fd|Compubro permanece estranhamente silencioso... Talvez ele sinta a ira iminente de Derek?
dd6c4962-c36a-452c-80b0-8a4f80c1ec51|Você cai no chão, chorando e apertando o traseiro em um gesto inútil, na esperança de resistir à tempestade que se aproxima do seu esfíncter...
de0ad7b4-50b5-444f-9524-2450e5b79b59|Qual é... você realmente achou que não tinha camisinha em algum lugar neste jogo?
de355c61-bff2-4f7f-8c67-b6ec465e8011|Isso sim é um cartão de Natal!
de4b4929-ae85-4ed1-b966-e23e90601075|Tem uma festa e eu estou mesmo na garagem verificando o sistema elétrico da casa? Nossa, preciso sair mais.
de61dc50-4bff-447e-b75b-16711a8c7d6d|Algo me diz que essa maleta é única! Desvendar seus mistérios e torná-la pelo menos parcialmente funcional no seu inventário antes de passar para outros conteúdos pode levar a maravilhas incalculáveis. ...Ou horrores. A escolha é sua!
dea5b763-579c-4e35-aab7-563da510bfa7|A "senhora" ainda não me deixou "brincar" com, hum... seus produtos. Melhor manter o foco até ela terminar.
dec7c4a1-950e-436d-82d4-5873e592b759|Uma superfície plana e agradável, iluminação decente, bastante espaço... Sim, eu poderia empilhar algumas roupas ali.
deeea3c9-f775-4ba0-be91-d07dea80cc46|Tem uma etiqueta que diz "Madison".
df3b0b12-4b1f-4f27-9a37-0b07744867f2|Estou com sede, mas não tanta sede. Pelo menos, ainda não.
df7bca2e-d803-404b-9e2f-a9928ad00ab7|Aqui, eu montei este enigma para você. É sobre um lugar, uma passagem secreta. Eu me movo para lá, como um ninja secreto, silencioso e mortal, como meu próprio peido.
df9d400f-7871-4121-aada-bb2817ee8af9|Além disso, você desbloqueou novos movimentos para o modo batalha! Usando os controles padrão, pressione a barra de espaço e, em seguida, o botão esquerdo do mouse para atacar! Você tem quatro tipos de movimentos. Os novos movimentos são ativados mantendo pressionadas as teclas de movimento (W, A, S ou D) e atacando. Cada movimento acionará uma animação aleatória, mas todos os movimentos ativados com a mesma tecla de movimento funcionam da mesma forma. Movimentos mais fortes consumirão mais energia, então fique de olho na barra no canto inferior esquerdo!
e0e92c31-687d-44c6-a2dd-b99e35292c09|Parece um filé de salmão delicioso. Estranho que o mercado local ofereça um corte tão premium. Mesmo assim, este salmão não te ama. Não pode — não neste estado.
e0f54862-cafe-4258-b055-f23588c69a6a|Leah parece extremamente chocada.
e1a3f9bf-11a8-4e62-bca4-76a7e85ae11e|Puta merda... O que há de errado comigo?! Eu não devia ter assistido aquele filme com a poção para aumentar o pênis ontem à noite! Preciso tirar as calças...
e26a557e-6198-4e2a-8fdf-144cf7d9051c|Ei, eu me lembro disto! Puxe-o e ele vai fazer um barulho de tiro! Está escrito "Fabricado no México" na lateral da caixa.
e2c3b861-414f-4223-a6eb-9f23df0d3a29|Modo de reprodução alterado. A playlist inteira agora será reproduzida em loop.
e312cbc9-c086-4e9f-ae1c-6943d3a25140|Guloseimas! Porque aquelas outras coisas com que parecem são marcas registradas!
e33bf979-8096-457a-ad4f-939fd82ea573|A porta do freezer parece emperrada.
e39429fa-a7ac-417d-985c-165ea7df622e|Isso é tinta de cabelo azul. Interessante. Talvez a Madison queira se fantasiar de Arlequina para o Halloween. Cara, eu adoraria ver isso...
e3975322-016e-4a5c-8b01-b6355b71c5c1|Eu deveria ter certeza de que não tem ninguém na jacuzzi antes de tentar cobri-la.
e3c56988-32b7-4c0c-8cb4-ee4c50b0ed3e|A Brittney não está mais sozinha!
e3f7b346-15d1-4e7c-94a4-304729128405|Não sei se isso é legal ou assustador.
e45aea95-604a-45a9-af54-97f2eeba453d|Bem, não sei bem o que eu esperava. Acho que ele é muito tímido...
e478cf64-1bb5-4ade-b0d7-b295cc3bef52|Um lindo pedaço de plexiglass.
e47b7992-55f8-4b03-ba74-34100a878a20|Ei, essa coisa está morta. Eu entendo que este é um jogo de aventura onde você combina coisas malucas, mas esqueça de colocar no meu bolso.
e488fe47-82fb-4016-accf-341fc3b81573|Desculpe, o quê? Como diabos você acha que isso é uma boa ideia?
e5168510-1933-4b15-b446-9ddc44a22b6d|A atenção do Derek está toda em mim agora. Eu não o culpo.
e5808c0a-f39f-42d8-983e-8e113e0ec1f0|Está completamente quebrado.
e58463d8-ef92-4472-a250-285f9bebb623|Pipoca pré-cozida! Bem... espera, eu entendi errado ou está escrito "Frank"? É só coincidência? Frank não me parece o tipo de dono de uma empresa de pipoca...
e5f84a0e-b594-4656-82cb-a391e8b67b58|Evidência de uma noite de autorrealização, humildade, excitação... e sexo selvagem.
e6279847-e406-4462-9f56-0d7e29c83fef|Uma variedade de chocolates da fábrica Zigga, na Holanda. Com eles, as pessoas vão te valorizar um pouco mais do que antes.
e6720b38-bfbd-4012-8ef2-731b47e2899e|Tenho a sensação de que Patrick não está se sentindo muito bem...
e6b6f1a0-508f-4f70-8968-01234ba53219|Já é um começo!
e6f31973-3ec3-459c-9107-cbfb28b460a3|Ah, não, deixei a cabeça do Patrick no fogão por muito tempo! Ele está prestes a explodir!
e7cfb50b-f919-4203-b333-9d3c7a6f01a5|É uma garrafa de vodca, mas parece que está vazia.
e7f59021-1045-43e4-bffe-adff26f7f7be|Você escapou por pouco com vida... e seu orgulho foi destruído. Mas e os seus companheiros de festa? E o seu amigo Derek? Descubra no próximo episódio de... nossa, você salvou o jogo como eu te disse?!
e803b102-a56c-4d9b-b609-35e74e61315f|Dizem que a Katherine está sempre com o celular na mão. Não me disseram que ela é muito hidratada e apaixonada por... gastronomia. Eles não são tão entendidos assim.
e8152f82-7714-41cd-b054-bada0be10cc7|Ela está chegando, estou quase lá!
e89fe59f-8575-4c4d-8054-1c120dcaeb53|O Compubro faz um barulho tão alto que a mala vibra.
e8ea6e5f-40e7-44a9-ad77-82e75a44d2fd|Talvez eu possa dizer que quebrei a fechadura com o punho. Ninguém vai causar mais problemas!
e8ffbbaf-092d-464f-a587-f2d5d8aa81ce|Você encheu a garrafa de vodca com água.
e9211bec-4c10-4b7b-92c6-168a7eebba27|Não entendi.
e94c02c5-478a-4d0d-885b-038bcd5193ac|Hmm. Acho que está funcionando agora, mas não quero que exploda na minha cara. Melhor esperar a Katherine confirmar.
e9631c13-e6c5-49dd-8872-aee7a1aedb2f|Parece uma smart TV... "RealHung Electronics". Deve ser uma marca falsa.
e977b899-76e0-4f7c-a2a3-f8c7a2e51531|O que é uma máquina de lavar sem uma secadora ao lado?
e97a9cbe-969a-4c05-a4d7-9e954614ad1e|Derek, meu novo amigo leal e bravo cavaleiro. Ele prometeu me defender se eu me meter em encrenca esta noite.
e97d49aa-2814-4976-bc00-ed5ab598860c|Acho que essa é a maneira da Vickie recarregar suas baterias sexuais. Não é a minha praia, mas cada um na sua. Melhor dar a ela alguns minutos.
e9c60d14-6da8-487f-a3f4-f9b6c8f216d8|Vamos tentar de novo... "Como consertar uma pia com a Miss Tool", e desta vez, sem comerciais! Vou dizer ao Derek que tenho um vídeo para ele!
e9d9e77d-aef4-459c-8f0f-b206688b7d96|( . Y . )
e9dc479a-11e4-4718-8dce-d0286ca8df29|Isso vai consertar os rasgos perto dos mamilos, mas o maiô ainda está muito sujo. Preciso lavá-lo primeiro.
ea3bb7dc-cfe0-4e07-ae77-d1c1064b93e4|Parece que os Grumps estão ocupados demais para se preocuparem comigo agora. Típico. Só para constar, eu também tenho dezenas de seguidores no X. Dezenas!
ea978fa1-7582-4066-aacf-d3c84b5c8e20|Desculpa, garota aleatória, a mamãe me disse para não abrir a porta para estranhos. Talvez no próximo jogo.
ea9f05e5-e028-4e46-9d1b-ca5b8a4b397c|Ei, isso é para você! O que você vê é o menu de interação radial. A partir daqui, você pode tirar roupas, vestir roupas, dançar e muito mais! Os PNJs reagem de forma diferente a cada uma dessas coisas, então experimente. Na hora certa, é claro.
eaac21ab-f111-490f-8f5c-a84461ebf8d5|Hmm, não parece tão cheio quanto parece. Talvez eu devesse evitar beber, a menos que precise. Ou eu poderia simplesmente não dar a mínima. Você só vive uma vez!
eab28f7f-aa06-4808-ac0e-a38a483bbd81|Que chatice. De onde vem essa neve?
eaf492b2-436c-4eae-a6f3-aafdb70bae67|Ok, faça isso comigo graciosamente no meio das chamas...
ebe04965-49ae-42ef-b387-2593baa0ffcd|A Steph está com uma expressão vazia no rosto... Acho que ela não está interessada em bugigangas, bibelôs ou vibradores... espera, eu também tenho um vibrador aqui?
eca005f2-e7e1-432f-aba6-5c2bd573d8ea|Nossa! Lembrete: tudo que acaba ali está perdido para sempre. Isso não é bom. Mas uma explosão na hora certa pode ser exatamente o que eu preciso para fazer o Derek perder!
ed4bb8b2-a300-435a-979d-981f7897e422|Sua atenção à precisão e seu profundo conhecimento de beer pong melhoram sua velocidade em combate!
ed960aa2-d928-4466-bec9-4a7759327467|Então, tire a camisa, a festa está ficando intensa, você sente vontade de derreter, o ar está muito denso. Se quer um conselho, comece a se despir, quebrei alguma coisa, descubra o que é ou continue suando!
ed9c84be-eb89-4ae1-a15f-06582c953380|Perfeito para iluminar uma pequena área ou fortalecer seus bíceps.
edaaa4a0-f012-4926-9b70-4371b907c08d|Não me contaram nada sobre o Digi-Kat. O Katinator, ouso dizer. Em que encrenca me meti?
ee1307ef-505b-4b73-aa9d-66ee66a68202|Essa coisa é mais pesada que duas rolas e uma perdiz em uma pereira.
ee4cfd91-ed7e-4903-9b9c-210c4c543f44|Essa coisa com certeza não está de acordo com as normas.
ee892453-ff88-4af7-96b1-ba4c793d56dd|Está completamente presa. Será que tem algo que eu possa usar para bater na secadora...
